Site ID,Region ID,RAT Type,RAT SubType,Latitude,Longitude,Bands,Channels,First Seen,Last Seen,Visible,Tower Type,Operator
700483,4,LTE,LTE-A,26.14510082,50.50760074,3,"1350, 1350",3/7/2021,3/7/2021,FALSE,,Zain
700453,2,LTE,LTE-A,26.22750041,50.52780016,"3, 1, 20","1350, 101, 6300, 1350, 101, 6300",3/3/2021,9/6/2022,TRUE,MACRO,Zain
700531,1,LTE,LTE-A,26.26080087,50.60300017,"3, 1","1350, 1350, 101",3/3/2021,9/4/2022,TRUE,MACRO,Zain
700069,2,LTE,LTE-A,26.24200084,50.58360039,"3, 1","1350, 101, 1350, 1350, 101",12/30/2020,4/19/2021,TRUE,MACRO,Zain
700273,2,LTE,LTE-A,26.21480024,50.59260088,"3, 41","1350, 41514, 1350",4/19/2020,4/21/2021,TRUE,MACRO,Zain
700361,1,LTE,LTE-A,26.28750053,50.63790043,"3, 1","1350, 101, 1350",2/20/2021,3/3/2021,TRUE,MACRO,Zain
700118,1,LTE,LTE-A,26.24990014,50.6156005,"3, 41, 1","1350, 41514, 1350, 100, 41514, 1350, 100",3/3/2021,2/12/2026,TRUE,MACRO,Zain
700231,1,LTE,LTE-A,26.26850032,50.61520032,"3, 1","1350, 101, 1350, 1350, 101",3/4/2021,3/4/2021,TRUE,MACRO,Zain
700500,5,LTE,LTE-A,26.21150028,50.51890014,"3, 1","1350, 101",3/3/2021,9/5/2022,TRUE,MACRO,Zain
700614,2,LTE,LTE-A,26.23850074,50.53730084,3,"1350, 1350",3/4/2021,3/7/2021,TRUE,MACRO,Zain
700313,2,LTE,LTE-A,26.23150046,50.54620079,"3, 1","1350, 101, 1350, 101, 1350, 101",3/3/2021,9/6/2022,TRUE,MACRO,Zain
700611,1,LTE,LTE-A,26.26150058,50.63440035,"3, 20, 1","1350, 6300, 1350, 101, 1350, 101",2/20/2021,1/20/2024,TRUE,MACRO,Zain
700170,5,LTE,LTE-A,26.20940084,50.50600044,"3, 1, 41, 20","1350, 101, 41364, 41514, 1350, 101, 41364, 41514, 6300, 1350, 101, 41364, 41514, 6300",3/3/2021,4/19/2021,TRUE,MACRO,Zain
700059,5,LTE,LTE-A,26.15080087,50.61740079,20,"6300, 6300",3/3/2021,3/3/2021,TRUE,MACRO,Zain
700104,2,LTE,LTE-A,26.22910076,50.57210029,"3, 41, 20","1350, 41364, 41514, 6300, 41514",3/3/2021,3/3/2021,TRUE,MACRO,Zain
700053,4,LTE,LTE-A,26.19320015,50.50600064,"3, 1, 20","1350, 101, 6300, 1350, 1350, 101, 6300",3/3/2021,9/7/2022,TRUE,MACRO,Zain
700102,1,LTE,LTE,26.27260042,50.64770081,3,"1350, 1350, 1350",3/3/2021,3/3/2021,TRUE,MACRO,Zain
700281,2,LTE,LTE-A,26.20140039,50.59980076,"3, 1, 20","1350, 101, 6300",3/3/2021,4/21/2021,TRUE,MACRO,Zain
700738,1,LTE,LTE-A,26.25800061,50.64790026,"3, 1","1350, 101, 1350",3/3/2021,3/3/2021,TRUE,MACRO,Zain
700014,2,LTE,LTE-A,26.20400039,50.57460098,"3, 1, 41","1350, 101, 41364, 1350, 101, 41364, 41514, 1350, 101, 41364, 41514",3/3/2021,4/21/2021,TRUE,MACRO,Zain
700004,1,LTE,LTE-A,26.24510022,50.60960095,"3, 1, 20","1350, 101, 6300, 1350, 1350, 101, 6300",12/30/2020,1/20/2024,TRUE,MACRO,Zain
700601,2,LTE,LTE-A,26.23550051,50.59750088,"3, 1","1350, 101, 1350, 101, 1350, 101",3/3/2021,4/21/2021,TRUE,MACRO,Zain
700779,2,LTE,LTE-A,26.24060041,50.59490015,"3, 1, 20","1350, 101, 101, 1350, 101, 6300",3/3/2021,4/21/2021,TRUE,MACRO,Zain
700745,2,LTE,LTE-A,26.24740035,50.59010064,"3, 1, 20","1350, 101, 6300, 1350, 6300, 1350, 101, 6300",12/30/2020,4/21/2021,TRUE,MACRO,Zain
700180,1,LTE,LTE-A,26.24760041,50.61450032,"3, 1, 20","1350, 100, 6300, 1350, 100",12/30/2020,2/12/2026,TRUE,MACRO,Zain
700197,4,LTE,LTE-A,26.21980013,50.49570068,"3, 1","1350, 101, 1350, 101",3/3/2021,3/3/2021,TRUE,MACRO,Zain
700402,1,LTE,LTE-A,26.26180046,50.61110066,"3, 20","1350, 1350, 6300",3/3/2021,3/4/2021,TRUE,MACRO,Zain
700016,2,LTE,LTE-A,26.23150081,50.55380072,"3, 1, 20","1350, 101, 6300, 1350, 101, 6300",3/3/2021,9/7/2022,TRUE,MACRO,Zain
700204,1,LTE,LTE-A,26.24820047,50.61080041,"3, 1, 41, 20","1350, 1350, 100, 41364, 41514, 6300, 1350, 101, 41364, 6300",12/30/2020,2/12/2026,TRUE,MACRO,Zain
700127,2,LTE,LTE-A,26.21830073,50.59780057,"3, 1, 41, 20","1350, 1350, 101, 41514, 1350, 101, 41514, 6300",4/19/2020,4/21/2021,TRUE,MACRO,Zain
