area,year,quarter,latitude,longitude,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,nearest_tower_distance_km,tower_count_1km,tower_count_2km,tower_count_5km,visible_tower_count_5km,digital_elevation_model,region_enc,typeOfArea_enc,city_enc,demand_growth_pct,region,typeOfArea,city,block_number,tower_density_ratio,year_trend,area_rolling_d_mbps,area_median_d,area_median_u,area_median_lat,area_test_count,distance_x_density
A'ali,2020,1,26.16776393,50.51678467,34.608,6.6292,21.2,52,0.91057406,3.2,10.6,184,126.2,10,2,5,0,0,Northern Governorate,PPLX,A'ali,738,0.017297297,0,152.4206623,178.8578333,23.14375,20.41666667,2070,0.004922022
A'ali,2020,2,26.16858561,50.51605225,24.7855,8.958833333,23.16666667,105,0.949577272,2.666666667,11.5,186.3333333,127,10,2,5,0,0,Northern Governorate,PPLX,A'ali,714,0.014234875,0,34.608,178.8578333,23.14375,20.41666667,2070,0.005068918
A'ali,2020,3,26.16858561,50.51605225,28.45533333,11.87283333,25,72,0.949577272,2.666666667,11.5,186.3333333,127,10,2,5,0,0,Northern Governorate,PPLX,A'ali,714,0.014234875,0,29.69675,178.8578333,23.14375,20.41666667,2070,0.005068918
A'ali,2020,4,26.16858561,50.51605225,51.10016667,10.03366667,26.83333333,137,0.949577272,2.666666667,11.5,186.3333333,127,10,2,5,0,0,Northern Governorate,PPLX,A'ali,714,0.014234875,0,26.62041667,178.8578333,23.14375,20.41666667,2070,0.005068918
A'ali,2021,1,26.16858561,50.51605225,50.3475,9.390666667,44.5,80,0.949577272,2.666666667,11.5,186.3333333,127,10,2,5,0,-0.199453552,Northern Governorate,PPLX,A'ali,714,0.014234875,1,39.77775,178.8578333,23.14375,20.41666667,2070,0.005068918
A'ali,2021,2,26.16858561,50.51605225,95.87466667,19.97983333,20.66666667,63,0.949577272,2.666666667,11.5,186.3333333,127,10,2,5,0,-0.199453552,Northern Governorate,PPLX,A'ali,714,0.014234875,1,50.72383333,178.8578333,23.14375,20.41666667,2070,0.005068918
A'ali,2021,3,26.16874994,50.51678467,60.2334,18.2096,19.2,72,1.016810564,2.2,10.8,187.4,128.4,10,2,5,0,-0.199453552,Northern Governorate,PPLX,A'ali,740,0.011677282,1,73.11108333,178.8578333,23.14375,20.41666667,2070,0.005397084
A'ali,2021,4,26.16846823,50.5178833,63.738,23.13,21.71428571,78,1.090944388,2.285714286,10,182.7142857,125.7142857,10,2,5,0,-0.199453552,Northern Governorate,PPLX,A'ali,714,0.01244168,1,78.05403333,178.8578333,23.14375,20.41666667,2070,0.005938266
A'ali,2022,1,26.16858561,50.51605225,100.83,21.636,18.83333333,62,0.949577272,2.666666667,11.5,186.3333333,127,10,2,5,0,0.068259386,Northern Governorate,PPLX,A'ali,714,0.014234875,2,61.9857,178.8578333,23.14375,20.41666667,2070,0.005068918
A'ali,2022,2,26.16874994,50.5145874,164.15,20.9262,17.2,55,0.854452965,3.2,13.6,185,125.4,10,2,5,0,0.068259386,Northern Governorate,PPLX,A'ali,714,0.017204301,2,82.284,178.8578333,23.14375,20.41666667,2070,0.004593833
